store,network,sales_2025,share,cum_share
PA CONSOLACAO 0008,GPA,31138.7099999999,0.0012449931221115965,0.9315612011065677
SUPER SANI,SANI,30804.650000000074,0.0012316366792026775,0.9327928377857704
SAN MICHEL POCOS DE CALDAS 07,SAN MICHEL,30568.370000000046,0.001222189692641816,0.9340150274784121
EMPORIO SANTA MARIA,ST MARCHE,30562.37999999999,0.0012219501994578813,0.9352369776778701
OBA SJC AQUARIUS,OBA,30318.660000000007,0.0012122057455700671,0.9364491834234401
HORTIFRUTI GUANABARA,H.FARTURA,29907.41000000012,0.001195763079143993,0.9376449465025841
PA GUATAS 1768,GPA,29340.92,0.0011731135810194673,0.9388180600836036
NATURAL DA TERRA BOA VISTA SP,NATURAL DA TERRA,29200.300000000017,0.0011674912886113582,0.939985551372215
COVABRA 22 VINHEDO,COVABRA,28971.339999999967,0.0011583369715173382,0.9411438883437323
HIROTA CAMPO BELO LJ 11 SP,HIROTA,28549.450000000157,0.0011414688948279883,0.9422853572385603
PA CARNEIRO DA CUNHA 2461,GPA,28428.01999999999,0.0011366138602161428,0.9434219710987765
PASTORINHO PERDIZES SP,PASTORINHO,28207.939999999984,0.001127814584770425,0.9445497856835469
SAN MICHEL POCOS DE CALDAS 03,SAN MICHEL,27438.679999999986,0.001097057902521367,0.9456468435860682
MAMBO PETIT LUIS COELHO,MAMBO,27109.830000000005,0.001083909766705645,0.9467307533527739
SAN MICHEL POCOS DE CALDAS 08,SAN MICHEL,26877.620000000075,0.0010746255075669252,0.9478053788603408
MAMBO PETIT PANAMBY,MAMBO,26276.979999999967,0.0010506106184188118,0.9488559894787596
PA PINDAMONHANGABA 1270,GPA,26096.209999999945,0.0010433830419815048,0.9498993725207411
DB MANAUS 01,DB,25775.58999999996,0.0010305639594051423,0.9509299364801462
MINUTO PAO L VASCONCELOS  77,GPA,25324.250000000025,0.001012518407879926,0.9519424548880262
EXTRA MERCADO RIC JAFET 1359,GPA,25269.33999999986,0.0010103229870569261,0.9529527778750831
NATURAL DA TERRA VILA MADAL SP,NATURAL DA TERRA,24782.739999999936,0.0009908676643020846,0.9539436455393853
PA ARARAQUARA SHOP 1182,GPA,24465.960000000043,0.0009782021132493154,0.9549218476526345
CARREFOUR CPS DOM PEDRO CPS,CARREFOUR,24080.639999999996,0.0009627961844291393,0.9558846438370637
BIG SJC 3707,BIG,23701.619999999937,0.0009476421432648519,0.9568322859803285
OBA SP VILA PRUDENTE IBITIRAMA,OBA,23633.240000000016,0.0009449081626442708,0.9577771941429728
LAVAPES 01 MOGI MIRIM,CUBATAO,23205.77000000006,0.0009278169854596991,0.9587050111284325
HIROTA IPIRANGA 07 SP,HIROTA,23024.76000000001,0.0009205798133021665,0.9596255909417347
PA SJC AQUARIUS 361,GPA,22823.330000000034,0.0009125262052822161,0.960538117147017
SABOR DA ROCA SP,SABOR DA ROCA,22735.83999999995,0.0009090281654387656,0.9614471453124558
MINUTO PAO VILA  ANDRADE 5431,GPA,22622.90999999996,0.0009045129792515392,0.9623516582917073
PALATO SUPERMERCADO LOJA 03,PALATO,22568.089999999993,0.0009023211568236314,0.963253979448531
EXTRA SP ANHANGUERA 1307,GPA,22438.969999999998,0.000897158659342938,0.9641511381078739
PA TAUBATE INDEPENDENCIA 0186,GPA,22363.329999999885,0.0008941344081855631,0.9650452725160594
HIROTA SP VILA GUMERCINDO 13,HIROTA,22143.29000000001,0.0008853367320265546,0.9659306092480859
